cliente_id,idade,renda_mensal,valor_compra,comprou
1,52,3355.3420251483208,226.60566304021663,0
2,55,1205.8299408304167,91.45544476350746,0
3,39,3873.5967481438342,78.35483298241047,1
4,53,1151.4312097291463,35.07605345688505,0
5,42,3894.498028038336,283.4173069330788,1
6,61,2482.774566641477,332.5806172238444,0
7,41,3447.0209797663715,148.24544427398163,0
8,47,3800.300723772595,50.4656970461717,0
9,44,4760.302888553121,19.95229441737078,1
10,64,667.1668696389252,32.61944138397833,0
11,19,974.6345145516761,46.44623322926006,0
12,57,2118.383581556617,230.3190839189393,0
13,62,2921.946226199778,40.79394234329733,1
14,64,4080.3056266070544,68.13494386207431,0
15,49,3319.7681576937034,3.0637873617590494,0
16,64,2664.293728883471,341.0373801977498,1
17,38,4920.564328376847,291.0668821664341,0
18,31,2346.861918501073,91.30243255639402,1
19,35,3238.2407193827903,131.21183178987863,0
20,43,3218.456617370576,152.78383538440573,1
21,36,3540.142411152843,22.272652738589077,1
22,66,3628.6184042157615,268.2566575266631,0
23,63,2926.7814593810467,37.33049516313977,1
24,27,3550.974131442446,64.03194696750109,0
25,47,3626.628410810294,99.3853895914123,1
26,61,2943.395785485349,179.464138416707,1
27,61,3074.2619189361612,242.97629656460657,0
28,28,3540.1792079265924,459.1362184391517,0
29,24,2133.107353407313,117.39197409153986,1
30,66,3262.9301885003383,48.34221151014306,1
31,34,3647.530293002735,51.16467678411867,1
32,42,2219.3765662300866,275.2603664847121,1
33,69,2472.1152919517917,42.89467547957602,0
34,48,3610.8842253702983,100.66839112880311,1
35,41,2209.752031939909,264.966332692622,0
36,33,2295.6467522645926,60.767213149980506,0
37,42,500.0,96.76045399928502,0
38,45,4242.495046196899,89.43298715169028,0
39,39,2954.035851524825,377.0392108608599,0
40,58,3232.5736913168357,43.317603523272425,0
41,56,4094.480236796778,621.5511558442963,0
42,20,2840.584572488022,63.83601188989567,1
43,66,1904.5930104484034,44.97824067392232,0
44,18,622.6373786842196,3.1268123213328005,0
45,21,704.5119433013892,238.57825701812374,0
46,61,3267.4323197667027,176.61530932233248,0
47,44,2909.3041812485667,78.84160815993224,1
48,25,1183.964204315669,60.920814849481374,1
49,29,2730.01407506423,17.1797445219227,0
50,68,4804.008149120913,27.377998007534572,0
51,50,3099.857709844776,71.18781908863564,1
52,52,3169.403247930014,105.60251742327853,0
53,69,4342.470742052337,105.40049158460614,0
54,29,2532.959087973018,52.04812714164099,0
55,28,2117.087593407977,3.378312289376812,1
56,62,4002.646486195644,73.95618468582356,1
57,27,2891.9972668439214,226.77598351583183,1
58,18,3304.864680725602,219.23335148715157,1
59,46,3717.814008052993,107.67613831444999,0
60,62,2805.4268567526747,315.7604635658756,0
61,62,1340.0439731011281,68.61321269421111,0
62,47,4632.8735905221565,420.7732643589594,0
63,49,3302.11664771474,64.77668792509135,1
64,58,3072.6791044624506,188.63747975994752,0
65,51,2915.645415428397,51.235855774652684,0
66,45,2505.857114328615,124.63301985116786,0
67,60,4392.642367953223,179.6158311373118,0
68,35,4101.726198563504,561.0818555574663,1
69,26,4049.8376718210448,238.41159349343638,0
70,53,3988.19538845104,316.8547916554037,0
71,28,1757.73160132602,141.06275891736882,0
72,53,3343.536988502592,302.9462005727312,0
73,41,655.3548067652332,219.99578540747297,0
74,21,4167.888130009171,107.21254790351908,1
75,63,2458.291400879873,177.54369475765844,0
76,56,4552.217515342045,70.29533705870932,1
77,49,5364.69508570962,49.96255292022491,0
78,52,4008.672660399161,166.43923906370395,0
79,28,1386.6843607419125,129.90185246342418,0
80,28,4549.085653830619,98.98406826914706,1
81,26,5266.143020759249,95.58497402955703,0
82,31,3103.7267411405473,305.5081942225644,0
83,68,3808.7700524086167,752.6361514229732,0
84,65,2680.7999565033524,199.68548662280895,1
85,64,2454.937300166497,94.5810499134062,0
86,50,656.2555642454986,28.49394981506451,0
87,40,4334.823615565304,35.337359322029506,0
88,20,3925.4435376316715,135.25375306539755,0
89,33,3361.1063085366063,1.8614485987152607,1
90,40,1405.9003365536576,10.393902112212054,0
91,56,3387.0246956553624,208.80577084504102,0
92,38,3970.3371355534427,212.24982895541714,1
93,64,6721.282214104424,29.111402264523154,1
94,40,1881.2976920559497,32.176482728774936,0
95,25,4114.964441610657,18.53036096775036,0
96,54,2167.9232847503954,103.39424548901586,0
97,19,3085.871996950122,58.65722039410523,0
98,52,4179.240456169253,22.100185374994545,0
99,55,2810.257404958233,171.4771806996714,0
100,64,4307.3621852042315,169.48284509106526,1
101,63,676.6138078075437,77.95216825419719,0
102,65,2188.720066874558,44.68717748627391,0
103,56,3837.4099400151354,64.92312248337956,0
104,25,3172.1369767837195,581.3443563594002,0
105,50,3319.409942813704,107.46537890117881,0
106,69,2384.205469616855,23.410300741658055,0
107,48,2011.9457988599293,101.30476064179449,0
108,33,3739.8996178021116,98.65698472646818,0
109,65,2191.6629893168756,109.84879557587499,0
110,27,3542.465466842041,3.107673194374125,1
111,23,4175.175214175973,356.0759106475302,0
112,30,1846.8729087583838,258.0481779090958,1
113,57,3291.325653087611,27.068641409227137,1
114,60,3341.258288609234,503.8113401303808,0
115,43,2652.5491540252506,61.25136086363537,1
116,59,2418.2233707053692,178.72779055027746,0
117,46,861.998268858024,83.09391027862807,0
118,42,4077.3201655492026,254.69747398167135,0
119,25,1657.7164974236027,251.24676481763217,0
120,58,3497.581747204988,182.43995972593441,0
121,31,2547.2374428375383,16.55690978234634,1
122,43,5510.203920949161,41.55753180176693,1
123,59,1984.5062633742518,148.6876893403107,0
124,19,5192.831620875493,59.605384442149386,0
125,35,4038.7002437281626,12.965625953081366,0
126,66,3877.153996072984,4.039701710055342,1
127,47,2072.553298766617,275.1094293018272,0
128,51,604.8569421896682,186.57762155819466,0
129,34,4586.852456500155,42.903245715157794,0
130,67,4416.310619337103,11.629938998185757,0
131,28,2042.0903320962589,9.824532695988145,0
132,33,500.0,21.479940896537627,1
133,37,1842.5633818546771,14.037880177273074,1
134,29,2623.1992481102343,159.34513195951234,0
135,35,4537.102340592016,37.305049608979814,1
136,65,3513.929492314606,161.14217247428354,1
137,34,3879.6136586562207,254.65963982681149,0
138,49,2552.8185581117436,478.97712015971024,0
139,46,2304.6385500650686,109.76551559701525,0
140,34,989.199756234402,127.49106354279805,0
141,33,2596.1648015119667,88.54446349069437,1
142,49,4541.771611215055,50.00269192462514,0
143,47,3788.3185517148813,114.18564979181221,0
144,25,3663.2535733450104,79.95509649534766,0
145,57,2568.321883870577,37.50582324961706,0
146,18,2874.5318498447855,94.78573863283944,1
147,18,4133.643873526511,154.1455369181486,0
148,30,3181.04757592894,44.88472342904371,1
149,33,2527.661428833707,355.07677231758817,1
150,62,2112.790110057219,84.91722116146993,0
151,48,2471.0270492099808,204.13889178021293,0
152,41,3493.7219531464966,0.7852915988029289,0
153,37,1960.3803123228347,97.72188670326692,0
154,69,3001.9031581288136,62.4544368413847,0
155,38,2922.5121817518007,78.78540077316623,0
156,34,5507.064949922344,147.12328765232067,0
157,65,2220.003086651466,313.31420726309403,0
158,19,1370.8620598432099,261.7601125060411,1
159,62,3581.9429735217795,700.5859316436486,0
160,49,2951.464599833178,287.9647452283051,0
